phishing,is_phishing,hour_of_day,subject_length,description_length,day_of_week_1,day_of_week_2,day_of_week_3,day_of_week_4,day_of_week_5,day_of_week_6,predicted_phishing
False,0,6,49,136,False,False,False,True,False,False,0
False,0,0,23,109,True,False,False,False,False,False,0
False,0,0,59,155,False,True,False,False,False,False,0
False,0,0,36,146,False,False,True,False,False,False,0
False,0,18,41,144,False,False,False,False,False,False,0
False,0,15,73,152,False,False,False,False,True,False,0
False,0,22,33,148,False,False,False,False,False,True,0
False,0,19,36,116,False,False,False,False,False,True,0
False,0,5,58,115,False,False,False,True,False,False,0
False,0,13,46,134,False,False,False,False,False,False,0
False,0,4,49,192,False,False,False,False,False,False,0
False,0,7,36,114,True,False,False,False,False,False,0
False,0,11,68,180,False,False,False,False,True,False,0
False,0,22,57,158,False,False,False,False,False,True,0
False,0,1,61,120,False,False,False,False,False,False,0
False,0,17,48,86,False,False,False,False,False,True,0
False,0,22,59,141,False,False,False,False,False,True,0
False,0,5,94,146,False,False,False,False,False,True,0
False,0,5,68,138,True,False,False,False,False,False,0
False,0,15,54,152,False,False,False,False,False,True,0
False,0,7,61,155,False,False,False,False,True,False,0
False,0,22,31,129,False,False,False,True,False,False,0
False,0,2,45,163,False,False,False,False,True,False,0
False,0,2,58,141,True,False,False,False,False,False,0
False,0,22,50,146,False,False,False,False,False,False,0
False,0,7,45,152,False,True,False,False,False,False,0
False,0,14,53,190,False,False,False,False,True,False,0
False,0,0,46,209,False,False,False,True,False,False,0
False,0,10,60,151,False,False,False,True,False,False,0
False,0,23,53,116,True,False,False,False,False,False,0
False,0,13,45,144,False,False,False,False,False,False,0
False,0,8,31,210,False,False,False,False,True,False,0
False,0,16,58,156,False,False,False,False,False,True,0
False,0,19,58,103,False,True,False,False,False,False,0
False,0,13,68,209,False,False,False,True,False,False,0
False,0,18,57,146,False,False,False,False,False,True,0
False,0,5,53,221,False,True,False,False,False,False,0
False,0,5,80,131,False,False,False,True,False,False,0
False,0,16,49,90,False,False,False,False,True,False,0
False,0,1,90,235,False,False,False,False,False,False,0
False,0,17,41,147,False,True,False,False,False,False,0
False,0,6,59,125,False,True,False,False,False,False,0
False,0,13,40,246,False,True,False,False,False,False,0
False,0,13,56,148,False,False,False,False,True,False,0
False,0,3,68,116,True,False,False,False,False,False,0
False,0,16,47,155,False,True,False,False,False,False,0
False,0,8,44,154,False,True,False,False,False,False,0
False,0,17,47,186,True,False,False,False,False,False,0
False,0,6,31,99,False,False,True,False,False,False,0
False,0,17,56,173,False,False,False,False,True,False,0
False,0,20,40,137,False,False,False,False,False,False,0
False,0,8,54,114,False,False,False,False,False,True,0
False,0,11,65,158,False,False,False,True,False,False,0
False,0,8,38,142,False,False,True,False,False,False,0
False,0,8,33,99,False,False,False,False,False,True,0
False,0,8,80,139,False,False,False,False,False,True,0
False,0,14,40,110,False,False,False,False,False,True,0
False,0,23,62,209,False,False,False,False,False,True,0
False,0,8,38,210,False,False,False,False,False,True,0
False,0,8,40,213,False,False,False,False,True,False,0
False,0,18,48,209,False,True,False,False,False,False,0
False,0,18,28,204,False,False,True,False,False,False,0
False,0,16,54,213,False,False,False,False,False,False,0
False,0,8,69,157,False,False,False,False,False,True,0
False,0,2,67,108,False,False,False,True,False,False,0
False,0,14,68,283,False,False,True,False,False,False,0
False,0,16,46,107,False,False,False,False,True,False,0
False,0,16,48,138,False,False,False,False,True,False,0
False,0,3,48,135,False,False,False,False,False,False,0
False,0,20,90,201,True,False,False,False,False,False,0
False,0,3,61,169,False,False,False,False,False,False,0
False,0,8,89,199,False,False,True,False,False,False,0
False,0,5,67,282,False,False,True,False,False,False,0
False,0,21,66,116,False,False,False,False,False,False,0
False,0,16,35,86,True,False,False,False,False,False,0
False,0,9,41,90,False,False,False,False,False,True,0
False,0,12,55,103,False,False,False,False,True,False,0
False,0,19,24,71,False,False,False,True,False,False,0
False,0,16,44,97,False,False,False,False,False,False,0
False,0,9,36,81,True,False,False,False,False,False,0
False,0,11,61,166,False,False,False,False,False,False,0
False,0,22,43,197,True,False,False,False,False,False,0
False,0,5,44,109,False,False,False,False,False,True,0
False,0,14,68,211,True,False,False,False,False,False,0
False,0,20,57,260,True,False,False,False,False,False,0
False,0,2,49,135,False,False,False,False,False,True,0
False,0,9,30,71,False,False,False,False,False,False,0
False,0,23,57,215,False,False,True,False,False,False,0
False,0,13,45,87,False,False,False,False,False,True,0
False,0,14,78,242,False,False,False,False,False,True,0
False,0,5,24,132,False,True,False,False,False,False,0
False,0,23,40,127,True,False,False,False,False,False,0
False,0,20,49,140,False,False,False,True,False,False,0
False,0,12,36,192,True,False,False,False,False,False,0
False,0,18,23,191,False,False,True,False,False,False,0
False,0,14,56,133,False,False,False,False,False,True,0
False,0,10,30,137,False,False,False,True,False,False,0
False,0,17,57,126,False,False,False,False,False,False,0
False,0,11,47,95,False,False,False,True,False,False,0
False,0,18,74,190,False,False,False,True,False,False,0
False,0,14,53,215,False,True,False,False,False,False,0
False,0,1,63,175,True,False,False,False,False,False,0
False,0,15,58,255,False,False,False,False,False,False,0
False,0,4,94,272,False,False,False,False,True,False,0
False,0,11,94,228,True,False,False,False,False,False,0
False,0,22,23,160,False,True,False,False,False,False,0
False,0,15,53,174,False,False,True,False,False,False,0
False,0,7,55,127,False,False,False,False,True,False,0
False,0,4,54,142,False,False,False,True,False,False,0
False,0,8,33,139,False,False,False,False,False,False,0
False,0,3,63,158,False,False,False,False,False,False,0
False,0,4,56,108,False,False,True,False,False,False,0
False,0,8,65,109,False,False,False,False,False,False,0
False,0,7,36,102,False,False,False,False,False,True,0
False,0,7,69,169,False,False,False,False,True,False,0
False,0,15,50,142,False,False,False,False,True,False,0
False,0,15,58,144,False,False,False,True,False,False,0
False,0,13,41,129,False,True,False,False,False,False,0
False,0,20,74,126,False,True,False,False,False,False,0
False,0,18,60,113,False,False,False,False,False,True,0
False,0,6,50,95,False,False,False,False,False,True,0
False,0,21,53,151,False,False,False,False,True,False,0
False,0,19,84,161,False,True,False,False,False,False,0
False,0,16,59,110,False,True,False,False,False,False,0
False,0,15,48,128,False,True,False,False,False,False,0
False,0,17,49,89,False,False,True,False,False,False,0
False,0,18,36,109,False,False,True,False,False,False,0
False,0,12,58,99,False,False,False,False,True,False,0
False,0,12,55,256,True,False,False,False,False,False,0
False,0,18,44,141,False,False,True,False,False,False,0
False,0,3,94,260,False,False,False,True,False,False,0
False,0,6,53,135,False,False,False,True,False,False,0
False,0,8,56,125,False,False,False,False,False,False,0
False,0,19,90,208,False,False,False,False,False,True,0
False,0,21,29,120,False,False,False,False,False,False,0
False,0,12,37,195,False,False,False,False,False,False,0
False,0,9,31,222,False,False,False,False,False,True,0
False,0,3,64,151,False,False,False,False,False,True,0
False,0,4,36,180,False,False,True,False,False,False,0
False,0,16,54,141,False,True,False,False,False,False,0
False,0,10,44,90,False,False,True,False,False,False,0
False,0,13,45,132,False,False,False,False,True,False,0
False,0,21,44,111,False,False,False,False,False,True,0
False,0,7,46,140,False,False,False,True,False,False,0
False,0,2,63,168,False,False,True,False,False,False,0
False,0,0,67,158,False,False,False,True,False,False,0
False,0,22,38,103,False,False,False,False,False,False,0
False,0,1,38,107,False,False,False,False,False,False,0
False,0,11,81,184,True,False,False,False,False,False,0
False,0,12,29,111,False,False,False,True,False,False,0
False,0,12,48,201,False,False,True,False,False,False,0
False,0,13,56,125,False,False,False,False,False,False,0
False,0,16,54,148,False,False,False,False,True,False,0
False,0,17,55,247,False,False,False,True,False,False,0
False,0,0,64,116,False,True,False,False,False,False,0
False,0,21,41,130,False,False,True,False,False,False,0
False,0,13,43,145,False,False,False,False,True,False,0
False,0,9,49,229,True,False,False,False,False,False,0
False,0,3,24,91,False,True,False,False,False,False,0
False,0,20,51,184,True,False,False,False,False,False,0
False,0,7,68,150,True,False,False,False,False,False,0
False,0,18,65,152,False,False,False,False,False,True,0
False,0,0,46,100,False,False,False,False,True,False,0
False,0,20,44,93,False,False,False,True,False,False,0
False,0,14,90,257,True,False,False,False,False,False,0
False,0,21,30,220,False,False,False,False,False,True,0
False,0,19,33,193,False,False,False,False,False,False,0
False,0,0,48,113,False,False,False,False,False,True,0
False,0,22,36,220,True,False,False,False,False,False,0
False,0,14,74,128,False,False,False,False,True,False,0
False,0,1,55,177,False,False,False,False,False,True,0
False,0,20,67,156,False,False,False,False,True,False,0
False,0,22,30,109,False,False,False,True,False,False,0
False,0,9,78,172,False,False,False,True,False,False,0
False,0,19,64,116,False,False,False,True,False,False,0
False,0,18,68,110,False,False,True,False,False,False,0
False,0,1,47,108,False,True,False,False,False,False,0
False,0,0,59,214,True,False,False,False,False,False,0
False,0,8,43,138,False,False,False,False,True,False,0
False,0,7,52,159,False,False,False,True,False,False,0
False,0,17,60,152,False,False,False,False,True,False,0
False,0,23,52,98,False,False,False,True,False,False,0
False,0,13,29,84,False,True,False,False,False,False,0
False,0,0,47,91,False,False,False,False,False,False,0
False,0,1,67,141,False,False,False,False,False,False,0
False,0,12,35,89,True,False,False,False,False,False,0
False,0,11,57,133,False,False,False,True,False,False,0
False,0,7,47,95,False,True,False,False,False,False,0
False,0,18,52,213,False,False,False,True,False,False,0
False,0,12,37,134,True,False,False,False,False,False,0
False,0,13,46,125,False,True,False,False,False,False,0
False,0,12,33,100,True,False,False,False,False,False,0
False,0,4,31,109,False,False,False,False,False,False,0
False,0,19,53,152,True,False,False,False,False,False,0
False,0,3,50,234,False,False,True,False,False,False,0
False,0,10,63,155,False,False,False,False,True,False,0
False,0,7,60,119,False,False,False,False,False,False,0
False,0,3,57,181,False,False,False,False,False,True,0
False,0,21,64,147,False,False,False,False,False,False,0
False,0,22,74,165,False,True,False,False,False,False,0
False,0,7,80,170,False,False,False,False,True,False,0
False,0,23,67,148,True,False,False,False,False,False,0
False,0,6,40,103,False,False,False,False,False,False,0
False,0,16,43,109,False,False,True,False,False,False,0
False,0,18,58,137,False,False,True,False,False,False,0
False,0,12,50,129,False,False,False,False,False,True,0
False,0,11,45,90,False,False,False,False,False,True,0
False,0,6,55,145,True,False,False,False,False,False,0
False,0,22,61,166,False,False,False,False,True,False,0
False,0,20,58,145,False,False,False,False,False,False,0
False,0,21,38,128,False,False,False,False,True,False,0
False,0,16,29,199,True,False,False,False,False,False,0
False,0,15,47,101,False,False,False,False,True,False,0
False,0,21,28,96,False,True,False,False,False,False,0
False,0,16,29,104,False,False,False,False,True,False,0
False,0,21,67,173,True,False,False,False,False,False,0
False,0,11,67,130,False,False,False,False,False,False,0
False,0,7,74,186,False,False,False,False,True,False,0
False,0,14,37,139,False,False,True,False,False,False,0
False,0,13,40,91,False,False,False,False,False,True,0
False,0,5,46,112,False,True,False,False,False,False,0
False,0,1,40,104,False,False,False,True,False,False,0
False,0,17,59,278,False,False,False,False,True,False,0
False,0,12,33,109,False,False,True,False,False,False,0
False,0,6,43,124,False,True,False,False,False,False,0
False,0,14,23,101,False,False,False,True,False,False,0
False,0,12,48,138,False,False,False,False,False,True,0
False,0,22,42,209,False,False,False,True,False,False,0
False,0,6,39,87,False,False,False,False,False,False,0
False,0,11,46,134,False,False,False,False,True,False,0
False,0,1,41,118,False,False,False,False,True,False,0
False,0,11,46,138,False,True,False,False,False,False,0
False,0,2,29,180,False,False,False,False,False,False,0
False,0,0,38,106,False,False,True,False,False,False,0
False,0,12,51,145,False,False,False,False,False,False,0
False,0,21,49,157,False,False,True,False,False,False,0
False,0,17,42,112,True,False,False,False,False,False,0
False,0,13,41,182,False,False,True,False,False,False,0
False,0,18,60,153,True,False,False,False,False,False,0
False,0,1,37,109,False,False,True,False,False,False,0
False,0,1,56,165,False,False,False,True,False,False,0
False,0,13,40,85,True,False,False,False,False,False,0
False,0,18,33,85,False,False,False,False,True,False,0
False,0,17,68,184,False,True,False,False,False,False,0
False,0,9,49,111,False,True,False,False,False,False,0
False,0,20,49,98,False,False,False,False,True,False,0
False,0,21,35,160,False,False,False,False,False,False,0
False,0,23,90,172,False,False,True,False,False,False,0
False,0,16,50,147,False,False,False,False,True,False,0
False,0,20,74,133,True,False,False,False,False,False,0
False,0,10,78,167,False,False,True,False,False,False,0
False,0,0,45,135,False,False,False,False,False,False,0
False,0,3,73,140,True,False,False,False,False,False,0
False,0,0,65,143,False,False,False,False,False,False,0
False,0,20,25,117,False,False,False,False,True,False,0
False,0,20,64,151,False,False,True,False,False,False,0
False,0,11,57,121,False,False,False,True,False,False,0
False,0,5,48,97,False,False,False,False,False,True,0
False,0,22,54,102,False,False,False,False,False,True,0
False,0,10,45,127,False,False,False,False,True,False,0
False,0,1,41,95,False,False,False,False,False,False,0
False,0,20,44,241,False,True,False,False,False,False,0
False,0,11,58,171,False,False,True,False,False,False,0
False,0,7,54,153,False,False,True,False,False,False,0
False,0,5,47,140,False,True,False,False,False,False,0
False,0,10,46,148,False,False,False,False,True,False,0
False,0,19,67,136,False,True,False,False,False,False,0
False,0,14,29,196,False,False,False,False,False,False,0
False,0,21,67,107,False,False,False,True,False,False,0
False,0,20,56,197,False,False,False,True,False,False,0
False,0,8,32,182,False,False,False,False,False,True,0
False,0,4,66,149,False,False,False,False,False,False,0
False,0,17,35,122,False,False,True,False,False,False,0
False,0,10,23,220,False,False,True,False,False,False,0
False,0,10,48,217,False,False,False,False,False,False,0
False,0,6,54,146,False,True,False,False,False,False,0
False,0,23,29,84,False,False,False,True,False,False,0
False,0,14,36,192,False,False,True,False,False,False,0
False,0,0,49,118,False,False,False,False,False,True,0
False,0,10,46,97,False,False,False,False,False,True,0
False,0,16,55,155,True,False,False,False,False,False,0
False,0,11,68,190,False,False,False,False,False,True,0
False,0,8,30,126,False,False,False,False,True,False,0
False,0,23,67,287,True,False,False,False,False,False,0
False,0,21,60,192,False,True,False,False,False,False,0
False,0,18,36,182,False,False,False,True,False,False,0
False,0,21,38,153,False,True,False,False,False,False,0
False,0,2,40,135,False,False,False,True,False,False,0
False,0,21,50,139,False,False,False,False,False,True,0
False,0,5,48,219,True,False,False,False,False,False,0
False,0,20,46,117,False,False,False,False,False,False,0
False,0,23,38,203,True,False,False,False,False,False,0
False,0,7,74,140,False,False,False,False,False,False,0
False,0,2,57,106,False,False,False,False,False,True,0
False,0,0,58,144,False,False,True,False,False,False,0
False,0,21,53,101,False,False,False,False,False,True,0
False,0,20,29,117,False,True,False,False,False,False,0
False,0,15,67,114,False,False,True,False,False,False,0
False,0,15,68,159,False,False,False,False,False,False,0
False,0,19,58,116,False,False,False,True,False,False,0
False,0,19,80,169,False,False,True,False,False,False,0
False,0,3,56,228,False,False,False,True,False,False,0
False,0,21,56,137,False,True,False,False,False,False,0
False,0,7,78,230,True,False,False,False,False,False,0
False,0,5,28,124,False,False,True,False,False,False,0
False,0,13,44,140,False,False,False,False,False,False,0
False,0,9,44,128,False,False,False,False,True,False,0
False,0,6,58,170,False,True,False,False,False,False,0
False,0,18,46,151,False,True,False,False,False,False,0
False,0,22,48,112,False,False,False,False,False,True,0
False,0,4,66,262,False,False,False,False,False,False,0
False,0,0,38,151,False,False,False,False,False,True,0
False,0,16,23,63,True,False,False,False,False,False,0
False,0,20,25,275,False,False,False,False,False,True,0
False,0,12,27,241,False,False,False,False,True,False,0
False,0,2,37,344,False,False,False,False,False,True,0
False,0,5,41,331,False,False,False,False,False,True,0
False,0,5,58,141,False,False,False,False,False,True,0
False,0,16,44,130,False,False,False,False,True,False,0
False,0,13,46,120,False,False,True,False,False,False,0
False,0,23,36,135,False,False,False,False,True,False,0
False,0,6,67,246,False,False,False,True,False,False,0
False,0,2,43,114,False,False,False,False,True,False,0
False,0,19,38,174,False,False,True,False,False,False,0
False,0,21,30,137,False,True,False,False,False,False,0
False,0,19,56,167,True,False,False,False,False,False,0
False,0,8,54,209,False,False,False,False,True,False,0
False,0,22,57,122,True,False,False,False,False,False,0
False,0,3,81,174,False,False,True,False,False,False,0
False,0,19,68,137,False,False,True,False,False,False,0
False,0,8,67,170,False,False,False,False,True,False,0
False,0,10,42,83,True,False,False,False,False,False,0
False,0,0,38,177,False,False,False,False,False,True,0
False,0,9,59,100,False,False,False,False,False,False,0
False,0,13,65,133,False,False,False,True,False,False,0
False,0,9,68,258,False,False,False,False,False,False,0
False,0,9,36,201,False,False,False,True,False,False,0
False,0,0,56,134,False,False,False,False,True,False,0
False,0,14,74,160,False,False,False,False,False,True,0
False,0,12,28,95,False,False,False,False,False,True,0
False,0,5,67,241,False,False,True,False,False,False,0
False,0,17,49,138,False,False,False,True,False,False,0
False,0,8,81,202,True,False,False,False,False,False,0
False,0,13,49,113,True,False,False,False,False,False,0
False,0,12,55,191,False,False,False,False,True,False,0
False,0,4,60,177,False,False,True,False,False,False,0
False,0,17,58,132,False,False,False,True,False,False,0
False,0,13,35,101,False,False,False,False,False,True,0
False,0,10,67,114,False,False,False,False,False,True,0
False,0,4,60,151,False,False,False,False,True,False,0
False,0,14,55,108,False,False,False,True,False,False,0
False,0,19,52,223,False,False,False,False,False,True,0
False,0,10,65,150,False,False,False,False,True,False,0
False,0,3,68,233,False,False,False,False,False,False,0
False,0,10,25,196,False,True,False,False,False,False,0
False,0,7,56,101,False,False,False,False,False,False,0
False,0,15,68,117,True,False,False,False,False,False,0
False,0,21,65,118,False,False,False,False,False,True,0
False,0,2,36,82,False,False,False,False,False,True,0
False,0,21,57,127,False,True,False,False,False,False,0
False,0,18,49,167,False,False,False,False,False,False,0
False,0,4,48,155,False,False,False,True,False,False,0
False,0,4,42,176,False,True,False,False,False,False,0
False,0,7,58,233,False,False,True,False,False,False,0
False,0,14,41,219,False,False,False,False,False,True,0
False,0,12,36,87,False,False,True,False,False,False,0
False,0,4,45,94,False,False,False,True,False,False,0
False,0,14,36,85,False,False,False,True,False,False,0
False,0,9,46,134,False,False,True,False,False,False,0
False,0,1,24,110,False,False,False,False,False,False,0
False,0,11,58,109,False,False,False,False,False,True,0
False,0,21,68,166,False,False,True,False,False,False,0
False,0,21,44,90,False,False,False,False,False,False,0
False,0,1,36,79,False,False,False,False,False,True,0
False,0,18,24,126,False,False,False,False,True,False,0
False,0,8,29,98,True,False,False,False,False,False,0
False,0,16,60,124,False,False,True,False,False,False,0
False,0,4,78,164,False,False,False,False,True,False,0
False,0,20,50,139,False,False,False,False,True,False,0
False,0,13,60,158,False,True,False,False,False,False,0
False,0,8,45,110,False,False,True,False,False,False,0
False,0,6,38,141,False,True,False,False,False,False,0
False,0,0,38,139,False,False,True,False,False,False,0
False,0,11,35,157,False,False,False,False,True,False,0
False,0,21,35,210,False,False,False,True,False,False,0
False,0,11,64,170,True,False,False,False,False,False,0
False,0,10,35,102,False,False,False,True,False,False,0
False,0,10,24,89,False,False,False,True,False,False,0
False,0,7,68,206,False,False,False,True,False,False,0
False,0,12,23,71,False,False,True,False,False,False,0
False,0,23,29,97,False,False,True,False,False,False,0
False,0,2,38,139,False,False,False,False,False,True,0
False,0,2,60,161,False,False,False,True,False,False,0
False,0,3,50,133,False,False,False,False,False,True,0
False,0,23,44,94,True,False,False,False,False,False,0
False,0,18,44,154,False,False,False,False,False,False,0
False,0,22,23,171,False,False,False,False,False,False,0
False,0,12,65,171,False,False,False,False,True,False,0
False,0,5,60,106,False,False,True,False,False,False,0
False,0,0,36,213,True,False,False,False,False,False,0
False,0,22,44,95,False,False,False,False,False,True,0
False,0,8,49,190,False,False,True,False,False,False,0
False,0,20,74,232,False,False,False,True,False,False,0
False,0,11,39,191,False,False,False,False,False,True,0
False,0,22,66,261,False,False,False,False,False,False,0
False,0,16,68,295,False,False,False,False,False,False,0
False,0,20,56,139,False,False,False,True,False,False,0
False,0,0,28,96,False,False,False,True,False,False,0
False,0,0,60,225,True,False,False,False,False,False,0
False,0,9,67,113,False,False,False,False,False,False,0
False,0,18,43,180,False,False,False,False,True,False,0
False,0,21,23,89,True,False,False,False,False,False,0
False,0,23,58,99,False,False,False,False,False,False,0
False,0,5,35,133,False,False,False,False,True,False,0
False,0,6,84,133,False,False,False,False,True,False,0
False,0,13,58,153,False,True,False,False,False,False,0
False,0,18,55,258,False,True,False,False,False,False,0
False,0,22,60,150,False,False,False,False,True,False,0
False,0,2,57,141,False,False,False,False,False,False,0
False,0,3,50,138,False,False,False,False,False,False,0
False,0,11,59,150,True,False,False,False,False,False,0
False,0,1,50,137,False,False,False,False,False,True,0
False,0,18,44,125,False,False,False,True,False,False,0
False,0,21,38,148,False,True,False,False,False,False,0
False,0,22,43,127,False,False,True,False,False,False,0
False,0,7,58,149,False,False,True,False,False,False,0
False,0,8,55,110,False,False,True,False,False,False,0
False,0,20,40,170,False,False,False,True,False,False,0
False,0,19,56,100,False,False,True,False,False,False,0
False,0,11,51,152,False,False,False,False,False,False,0
False,0,10,54,125,False,False,True,False,False,False,0
False,0,16,44,133,False,False,True,False,False,False,0
False,0,18,48,94,True,False,False,False,False,False,0
False,0,19,50,225,False,False,False,True,False,False,0
False,0,15,57,205,True,False,False,False,False,False,0
False,0,9,61,136,False,True,False,False,False,False,0
False,0,18,59,149,False,False,False,False,True,False,0
False,0,18,23,209,False,True,False,False,False,False,0
False,0,7,36,87,True,False,False,False,False,False,0
False,0,11,68,141,True,False,False,False,False,False,0
False,0,9,59,136,False,False,False,False,False,False,0
False,0,17,68,154,False,False,False,False,True,False,0
False,0,16,78,244,False,False,True,False,False,False,0
False,0,14,35,112,False,False,False,False,False,True,0
False,0,22,55,107,False,True,False,False,False,False,0
False,0,1,57,238,False,False,True,False,False,False,0
False,0,14,50,203,False,False,False,False,False,False,0
False,0,18,44,89,True,False,False,False,False,False,0
False,0,3,68,111,False,False,True,False,False,False,0
False,0,12,94,149,False,False,False,False,True,False,0
False,0,19,45,122,False,False,False,False,True,False,0
False,0,3,54,223,True,False,False,False,False,False,0
False,0,15,43,93,False,False,False,False,True,False,0
False,0,14,59,155,True,False,False,False,False,False,0
False,0,21,64,109,False,True,False,False,False,False,0
False,0,0,45,113,False,False,False,False,True,False,0
False,0,4,47,87,False,False,False,True,False,False,0
False,0,2,29,117,False,False,False,False,False,False,0
False,0,18,60,104,False,False,False,True,False,False,0
False,0,11,81,126,False,False,False,False,False,True,0
False,0,12,53,175,False,False,False,False,False,True,0
False,0,17,67,145,False,False,False,False,True,False,0
False,0,2,44,90,False,True,False,False,False,False,0
False,0,3,46,199,False,False,True,False,False,False,0
False,0,14,38,111,False,True,False,False,False,False,0
False,0,11,50,256,False,False,False,False,False,False,0
False,0,17,44,114,False,False,False,False,False,True,0
False,0,7,65,165,True,False,False,False,False,False,0
False,0,18,66,206,False,False,False,True,False,False,0
False,0,15,60,203,False,False,True,False,False,False,0
False,0,3,41,82,False,False,True,False,False,False,0
False,0,8,55,201,False,True,False,False,False,False,0
False,0,5,53,126,False,False,False,True,False,False,0
False,0,11,49,135,False,True,False,False,False,False,0
False,0,6,60,171,False,True,False,False,False,False,0
False,0,10,60,151,True,False,False,False,False,False,0
False,0,2,68,154,False,False,False,True,False,False,0
False,0,18,66,158,False,False,True,False,False,False,0
False,0,11,28,239,False,False,True,False,False,False,0
False,0,12,30,113,False,True,False,False,False,False,0
False,0,14,48,130,True,False,False,False,False,False,0
False,0,20,45,171,True,False,False,False,False,False,0
False,0,13,47,182,False,False,False,True,False,False,0
False,0,1,66,141,False,False,False,False,True,False,0
False,0,5,28,87,False,False,False,False,False,False,0
False,0,3,65,112,False,False,False,False,False,False,0
False,0,4,60,145,True,False,False,False,False,False,0
False,0,6,66,152,False,True,False,False,False,False,0
False,0,23,74,190,False,False,False,False,False,False,0
False,0,19,44,93,False,False,False,True,False,False,0
